Image: 1, MSE: 0.0005, PSNR: 33.0832, SSIM: 0.9884, LPIPS: 0.0349
Image: 2, MSE: 0.0004, PSNR: 34.0270, SSIM: 0.9910, LPIPS: 0.0269
Image: 3, MSE: 0.0007, PSNR: 31.7823, SSIM: 0.9809, LPIPS: 0.0381
Image: 4, MSE: 0.0004, PSNR: 34.3977, SSIM: 0.9910, LPIPS: 0.0316
Image: 5, MSE: 0.0012, PSNR: 29.0807, SSIM: 0.9758, LPIPS: 0.0596
Image: 6, MSE: 0.0003, PSNR: 35.3746, SSIM: 0.9924, LPIPS: 0.0243
Image: 7, MSE: 0.0006, PSNR: 32.3010, SSIM: 0.9876, LPIPS: 0.0349
Image: 8, MSE: 0.0004, PSNR: 33.7057, SSIM: 0.9896, LPIPS: 0.0354
Image: 9, MSE: 0.0006, PSNR: 32.1637, SSIM: 0.9893, LPIPS: 0.0331
Image: 10, MSE: 0.0006, PSNR: 32.3567, SSIM: 0.9861, LPIPS: 0.0294
Image: 11, MSE: 0.0006, PSNR: 32.3157, SSIM: 0.9834, LPIPS: 0.0380
Image: 12, MSE: 0.0008, PSNR: 31.1148, SSIM: 0.9831, LPIPS: 0.0353
Image: 13, MSE: 0.0006, PSNR: 31.9595, SSIM: 0.9853, LPIPS: 0.0370
Image: 14, MSE: 0.0004, PSNR: 34.0501, SSIM: 0.9904, LPIPS: 0.0274
Image: 15, MSE: 0.0005, PSNR: 33.0671, SSIM: 0.9886, LPIPS: 0.0299
Image: 16, MSE: 0.0005, PSNR: 33.3336, SSIM: 0.9919, LPIPS: 0.0296
Image: 17, MSE: 0.0006, PSNR: 32.5201, SSIM: 0.9888, LPIPS: 0.0354
Image: 18, MSE: 0.0006, PSNR: 31.8903, SSIM: 0.9831, LPIPS: 0.0390
Image: 19, MSE: 0.0005, PSNR: 33.2549, SSIM: 0.9885, LPIPS: 0.0297
Image: 20, MSE: 0.0006, PSNR: 31.9831, SSIM: 0.9871, LPIPS: 0.0370
Image: 21, MSE: 0.0008, PSNR: 31.0085, SSIM: 0.9830, LPIPS: 0.0333
Image: 22, MSE: 0.0006, PSNR: 32.0157, SSIM: 0.9868, LPIPS: 0.0376
Image: 23, MSE: 0.0006, PSNR: 32.4916, SSIM: 0.9880, LPIPS: 0.0276
Image: 24, MSE: 0.0008, PSNR: 30.7092, SSIM: 0.9823, LPIPS: 0.0383
Image: 25, MSE: 0.0005, PSNR: 32.8850, SSIM: 0.9887, LPIPS: 0.0333
Image: 26, MSE: 0.0011, PSNR: 29.6889, SSIM: 0.9794, LPIPS: 0.0541
Image: 27, MSE: 0.0008, PSNR: 31.0916, SSIM: 0.9785, LPIPS: 0.0460
Image: 28, MSE: 0.0005, PSNR: 33.2065, SSIM: 0.9911, LPIPS: 0.0277
Image: 29, MSE: 0.0006, PSNR: 31.8860, SSIM: 0.9880, LPIPS: 0.0377
Image: 30, MSE: 0.0007, PSNR: 31.4868, SSIM: 0.9855, LPIPS: 0.0364
Image: 31, MSE: 0.0009, PSNR: 30.5783, SSIM: 0.9833, LPIPS: 0.0325
Image: 32, MSE: 0.0004, PSNR: 34.2266, SSIM: 0.9888, LPIPS: 0.0289
Image: 33, MSE: 0.0008, PSNR: 31.0973, SSIM: 0.9834, LPIPS: 0.0334
Image: 34, MSE: 0.0004, PSNR: 33.6647, SSIM: 0.9872, LPIPS: 0.0348
Image: 35, MSE: 0.0005, PSNR: 33.1287, SSIM: 0.9891, LPIPS: 0.0295
Image: 36, MSE: 0.0008, PSNR: 30.7502, SSIM: 0.9854, LPIPS: 0.0460
Image: 37, MSE: 0.0005, PSNR: 33.0918, SSIM: 0.9849, LPIPS: 0.0355
Image: 38, MSE: 0.0006, PSNR: 31.9127, SSIM: 0.9854, LPIPS: 0.0326
Image: 39, MSE: 0.0006, PSNR: 32.5245, SSIM: 0.9876, LPIPS: 0.0300
Image: 40, MSE: 0.0006, PSNR: 32.3405, SSIM: 0.9864, LPIPS: 0.0362
Image: 41, MSE: 0.0006, PSNR: 32.0383, SSIM: 0.9855, LPIPS: 0.0378
Image: 42, MSE: 0.0003, PSNR: 34.8205, SSIM: 0.9908, LPIPS: 0.0270
Image: 43, MSE: 0.0016, PSNR: 28.0140, SSIM: 0.9688, LPIPS: 0.0496
Image: 44, MSE: 0.0007, PSNR: 31.5044, SSIM: 0.9843, LPIPS: 0.0335
Image: 45, MSE: 0.0006, PSNR: 32.5604, SSIM: 0.9898, LPIPS: 0.0339
Image: 46, MSE: 0.0004, PSNR: 33.9987, SSIM: 0.9914, LPIPS: 0.0283
Image: 47, MSE: 0.0004, PSNR: 33.9771, SSIM: 0.9892, LPIPS: 0.0260
Image: 48, MSE: 0.0006, PSNR: 32.5250, SSIM: 0.9864, LPIPS: 0.0344
Image: 49, MSE: 0.0005, PSNR: 33.4561, SSIM: 0.9848, LPIPS: 0.0363
Image: 50, MSE: 0.0004, PSNR: 33.5926, SSIM: 0.9891, LPIPS: 0.0366
Image: 51, MSE: 0.0008, PSNR: 31.1879, SSIM: 0.9850, LPIPS: 0.0435
Image: 52, MSE: 0.0005, PSNR: 33.0730, SSIM: 0.9892, LPIPS: 0.0328
Image: 53, MSE: 0.0006, PSNR: 32.0744, SSIM: 0.9866, LPIPS: 0.0375
Image: 54, MSE: 0.0005, PSNR: 32.7419, SSIM: 0.9864, LPIPS: 0.0368
Image: 55, MSE: 0.0007, PSNR: 31.6659, SSIM: 0.9850, LPIPS: 0.0339
Image: 56, MSE: 0.0005, PSNR: 33.0242, SSIM: 0.9888, LPIPS: 0.0342
Image: 57, MSE: 0.0013, PSNR: 28.9634, SSIM: 0.9755, LPIPS: 0.0407
Image: 58, MSE: 0.0007, PSNR: 31.6951, SSIM: 0.9826, LPIPS: 0.0379
